,code,name,cur_price,volume,high_price,low_price
001465,001465,BYC우,110000,141,111500,-109000
001470,001470,삼부토건,5210,100125,5240,-5050
001500,001500,현대차증권,-9800,13370,9860,-9790
001510,001510,SK증권,741,1879778,748,739
001515,001515,SK증권우,3770,221528,3900,-3700
001520,001520,동양,2005,268415,2020,2000
001525,001525,동양우,9620,887,9700,-9450
001527,001527,동양2우B,11150,413,11250,-11050
001529,001529,동양3우B,-31550,1041,31750,-31400
001530,001530,동일방직,-63600,14169,65100,-62700
001550,001550,조비,-29600,31115,30000,-29450
001560,001560,제일연마,6780,14076,6820,-6650
001570,001570,금양,-2310,25891,2335,-2290
001620,001620,동국실업,940,99274,949,-934
001630,001630,종근당홀딩스,67200,5553,68000,-66600
001680,001680,대상,26900,99026,27150,-26500
001685,001685,대상우,13200,5801,13350,-13100
001720,001720,신영증권,-59200,2973,59700,-59200
001725,001725,신영증권우,55800,624,55800,-55400
001740,001740,SK네트웍스,-6060,810322,6160,-6040
001745,001745,SK네트웍스우,-55600,503,55900,-54700
001750,001750,한양증권,7070,11486,7080,-6930
001755,001755,한양증권우,7740,33,7770,7730
001770,001770,신화실업,22450,1721,22800,22200
001780,001780,알루코,3100,84532,3110,-3075
001790,001790,대한제당,19900,2832,19900,19550
001795,001795,대한제당우,12000,2545,12100,12000
001799,001799,대한제당3우B,23650,284,24000,23600
001800,001800,오리온홀딩스,19550,36796,19600,19300
001820,001820,삼화콘덴서,66800,161293,67300,-65800
001880,001880,삼호,-15550,4678,16000,-15550
001940,001940,KISCO홀딩스,13650,3742,13700,-13500
002020,002020,코오롱,34100,12197,34100,-33750
002025,002025,코오롱우,18150,461,18150,-17900
002030,002030,아세아,-131000,654,132500,-131000
002070,002070,남영비비안,-6550,3223,6590,-6480
002100,002100,경농,-19900,366717,20250,-19500
002140,002140,고려산업,2615,88815,2620,-2560
002150,002150,도화엔지니어링,13150,190795,13300,-13000
002170,002170,삼양통상,44200,1905,44700,-43800
002200,002200,수출포장,20700,5590,20850,20550
002210,002210,동성제약,17950,311661,18200,17750
002220,002220,한일철강,22200,2323,22300,21950
002240,002240,고려제강,27300,7580,27400,-26800
002250,002250,알보젠코리아,-28600,86313,28700,-28550
002270,002270,롯데푸드,642000,2034,646000,-633000
002300,002300,한국제지,-19400,4934,19700,-19300
002310,002310,아세아제지,-33250,29242,33750,-33000
002320,002320,한진,-43900,152056,44000,-42100
002350,002350,넥센타이어,-9500,176416,9780,-9450
